Timestamp,Your Gender,Your Sexual Orientation,Your age,What country are You from?,How often do You play computer games,And for how long do Your gaming sessions usually last,Your favourite video game genre,Your favourite game(May write several),What other interests do You hold(You can choose multiple and write any others in Other),Your overall view on seeing sexual themes in the game(What is you reaction on seeing sexual themes in a game),Your view on sexualisation of the character design(Your reaction on seeing (overly)sexual character design),Any specific things that you usually LIKE in character designs,Any specific things that you usually DISLIKE in character designs,Your view on sexual sub-context in video games- themes around sex and similar,"If you dislike the (over)use of sexual sub-content, would you be okay if it's explained logically, tied to the story(And-Or if it exists for more reasons than just for marketing and-or similar)",Are you okay with LGBT+ characters in video games,Anything to add to the theme? Your personal thoughts. 
04/01/2021 23:30:05,Male,Heterosexual,16-20,United States,Several times a week,0-4 hours,Multiplayer RPGs,"Battlefield V, Subnautica, Kingdom Come: Deliverance,  Foxhole","Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Podcasts",Mostly negative,1,"Realistic body fitness. Gear that is appropriate for the setting, and unique per person when appropriate. Representation of height differences. Games with inventory that have visibly full or empty containers (i.e. backpacks) and no extra equipment that would weigh a real person down that's functionally useless.","""My metal bra will definitely protect against all kinds of attacks!"" Gear that is just there for aesthetics, but functionally useless. Ridiculous armor. Over-the-top action gear, like a tactical vest with tactical pockets and tactical pants with a tactical- you get the idea. Super tight clothing. Scantily-clad anything. Very revealing clothes that no sane person would wear. Unnecessary cleavage. Unnecessary muscle shirts. Short shorts. Shirt hanging off the shoulder for no reason really bugs me. Clothes and armor that just obviously don't do their job. Focusing on any sort of sexual aspect that doesn't directly have to do with the story (even then I feel like it should be implied). Ridiculously large body proportions. Lastly, putting anything sexual on a non-human is an absolute no.",2,Maybe,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",Any sort of sexual aspect should be at most heavily implied. The goal of the game is typically to convey a story or bring immersion. It's not porn and should never be (unless that's specifically what is purchased).
04/01/2021 23:31:53,Male,Heterosexual,21-26,USA,Several times a week,5-8 hours,Singleplayer RPGs,"NieR: Automata, Minecraft, Wizard101","Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,5,Not ugly; creative character or clothing design,"Heavy sexualization, overly revealing clothes, bikini armor",4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 23:32:49,Agender,Bisexual,21-26,Germany,Several times a week,0-4 hours,Action,"Witcher 3, Kerbal Space Program, Cities Skylines","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Mostly positive,4,,,6,,"Yes, in any way they appear there",
04/01/2021 23:36:05,Male,Asexual,21-26,United States,Several times a week,0-4 hours,Strategy,Black and White one and two by lionhead studios,Books(Non asian),Neutral,2,Reasoned design chioces,Sexual fan/audience service a la bikini armor,4,Yes,"Yes, in any way they appear there",
04/01/2021 23:38:34,Male,Heterosexual,21-26,Austria,Several times a week,0-4 hours,Singleplayer RPGs,Deus Ex: HR,"Books(Non asian), Films and TV series",Mostly positive,3,,,6,,"Yes, in any way they appear there",
04/01/2021 23:47:12,Male,Heterosexual,16-20,Germany,Several times a week,5-8 hours,Singleplayer RPGs,Cyberpunk 2077,,Mostly positive,5,,,5,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 23:49:27,Male,Heterosexual,21-26,Germany,Once- or twice a week,9-12 hours,Simulators,"Factorio, Dark Souls","Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Japanese(Or similar) Light Novels",Mostly positive,4,,,6,,"Yes, in any way they appear there",
04/01/2021 23:54:23,Male,Homosexual,16-20,UK,Every day,0-4 hours,Singleplayer RPGs,"xenoblade chronicles 2, paper mario: the thousand year door",,Neutral,3,Makes sense in their personality,Unrealistic aspects in a realistic design (eg. excessively large breasts on a human),5,Yes,"Yes, in any way they appear there",
04/01/2021 23:55:06,Female,Heterosexual,27-35,Spain,Several times a week,0-4 hours,Singleplayer RPGs,"The witcher, zelda","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime",Absolutely positive,7,,"That they are excessive perfect, thay can make them irreal and make the game less inmersive",7,Maybe,"Yes, in any way they appear there","I think everyone has tried to undress every customizable character to see how sexy it can be, at leats for some minutes and have some lols"
04/01/2021 23:57:50,Male,Heterosexual,21-26,United Kingdom,Once- or twice a week,0-4 hours,Singleplayer RPGs,"Assassin's Creed: Odyssey, Civilization V, Skyrim, Kerbal Space Program, Stronghold, Mount & Blade: Warband","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Sometimes positive,3,"Believable gear, especially regarding armour/tactical gear. Historical basis, where relevant. ",Women in combat or in the wilderness wearing high heels. Balloon boobs. Women designed to look like minors. ,4,Yes,"Yes, in any way they appear there",
05/01/2021 00:04:36,Male,Demisexual,27-35,England,Several times a week,9-12 hours,Adventure,Maniac Mansion 2: Day of the Tentacle | Command and Conquer: Red Alert 2 | Dungeon Keeper 2 | Warcraft 3 | Monkey Island 3 | Sam and Max: Hit the Road | Bioshock 1,"Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga",Neutral,4,"Practicality in what the character wears, i.e. Jade in Beyond Good and Evil",Over-exaggeration of proportions,4,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","Representation is vital in games, but all too often it feels tacked on because the company is trying to pander to the audience. I'm happy to see it turn up, as long as it actually informs upon the narrative of the story or helps to shape the character and how they conduct themself. It shouldn't be a random ""funny funny"" thing that turns up in a single comic panel and then never gets mentioned again."
05/01/2021 00:10:23,Male,Heterosexual,21-26,Germany,Several times a week,0-4 hours,Singleplayer RPGs,Mass Effect Trilogy (full playthrough),"Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,5,If the character fits the setting.,,5,Yes,"Yes, in any way they appear there","Rather than think about regulations if it is seen as a problem the topic (in general, not just videogames) should be discussed in school/at home more."
05/01/2021 00:14:07,Male,Heterosexual,21-26,New Zealand,Several times a week,0-4 hours,Action,Halo,"Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Manga",Mostly positive,5,,,5,Yes,"Yes, in any way they appear there",
05/01/2021 00:17:30,Male,Heterosexual,21-26,hungary,Every day,5-8 hours,Singleplayer RPGs,witcher 3,"Anime, Manga",Absolutely positive,2,,ridiculous boob sizes,7,Yes,"they are always executed poorly, real lgbt people would never act so ridiculous as in any medium, but if they were executed correctly, i wouldnt mind them at all","i believe the witcher 3 had the perfect implementation of sexuality in the game. the characters are good looking, but none of them are unrealistic. thats how most games should implement them that are going for realism, like they are real people, with personalities of their own, but sadly, its very rare. however, i have no issue with games that are marketed with oversexualization, they too are something that have a place in the market. but overall, i believe every gamedeveloper should make whatever they want, and not lie about their game.sexualization in games is barely an issue, its a very small minority that complains about it, what actual gamers care about is good writing, and good game design."
05/01/2021 00:20:59,Male,Asexual,21-26,Germany,Every day,0-4 hours,Don't really have one,Deep Rock Galactic,"Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series",Mostly negative,2,"Mostly realism, in games where realism doesn't aply i like original ideas",overly sexualised (Female) Characters if it is not an integral part of the told story,2,Maybe,"Yes, but not in an over sexualised context",
05/01/2021 00:21:29,Male,Homosexual,27-35,The Netherlands,Every day,5-8 hours,Survival Sandbox,"Minecraft, Final Fantasy, Monster Hunter","Films and TV series, Anime, Paleontology",Neutral,4,Backstory that fits appearances and motives,"Not having a backstory and them just being ""There""",4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 00:27:42,Male,Heterosexual,21-26,Netherlands,Several times a week,0-4 hours,Action,"Terraria, Thomas was Alone, Skyrim, Xcom, Scribblenauts","Manga, Physics and math",Mostly positive,7,,Darker colour schemes that make facial features harder to pick out,7,,Absolutely no,
05/01/2021 00:32:28,Male,Heterosexual,27-35,USA ,Several times a week,0-4 hours,Strategy,"Civilization, Xcom, legend of Zelda series",Books(Non asian),Sometimes positive,2,The ability to make my character look like a normal human,Gratuitous differences in design between differently gendered characters- ie schlubby men in the same game that has exclusively ‘hot’ women,4,Maybe,"Yes, in any way they appear there",
05/01/2021 00:36:13,Male,Heterosexual,Prefer not to answer,US,Every day,5-8 hours,Turn based strategy,"Super Robot Wars, Battletech, Xcom, Fire Emblem, Advance Wars","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,6,"I generally like more futuristic designs and calmer, less flashy colors. Overt sexualism rarely if ever bothers me, and imo sometimes makes the design more appealing.","Overly garish colors, too many useless bits and bobs (like spikes). This does mean I'm less disposed to fantasy genres.",6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 00:37:20,Male,Heterosexual,16-20,New Zealand,Every day,5-8 hours,Singleplayer RPGs,"Crusader Kings 3, Fallout New Vegas, Skyrim, Kerbal Space Program","Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels, Amateur rocketry",Absolutely positive,5,Characters that are confident in sexual representation. Lots of customization options,Overt and ridiculous over sexualization. Acceptable when done do both males and females. I'm straight but I'd be damned if I can't appreciate anyone for looking hawt,5,Yes,"Yes, in any way they appear there","I'm mostly concerned with the moral rage crowd, as long as it isn't stupid (back breaking boobs or waists that are small enough to fit a ring on) sexuality is a normal part of human experience, just add a toggle option and be done with it. Games are often an early way for people to explore their sexuality and if it isn't implementated officially all it does is waste my time fixing it with mods."
05/01/2021 00:41:53,Male,Heterosexual,21-26,USA,Every day,5-8 hours,Adventure,Legend of Zelda: Twilight Princess,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Mostly positive,5,,,6,,"Yes, in any way they appear there",
05/01/2021 00:45:24,Male,Heterosexual,27-35,UK,Every day,0-4 hours,Strategy,Dark Souls.  Oxygen Not Included.  Natural Selection 2.,"Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime",Mostly positive,6,"Boobs, butts, thighs.",Too skinny in the middle.,6,,"Yes, in any way they appear there",
05/01/2021 00:55:19,Male,Heterosexual,21-26,GERMANY,Every day,5-8 hours,Multiplayer RPGs,Genshin impact,"Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,4,Cat ears ,Too overly agrasive sexual gidens,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 00:58:04,Male,Heterosexual,21-26,USA,Several times a week,0-4 hours,Action,"Sonic 3 and Knuckles, Super Mario Odyssey","Books(Non asian), Films and TV series",Sometimes positive,6,,,3,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 00:58:24,Female,Heterosexual,16-20,australia,Once- or twice a week,0-4 hours,Adventure,minecraft,"Books(Non asian), Films and TV series, Anime, kpop",Sometimes positive,3,"little flaws, quirks, a balance of normal and shocking features","one dimensional sexualisation, lack of expression, same faces",3,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 01:08:03,Transmasculine,Asexual,27-35,US,Once a month,0-4 hours,Singleplayer RPGs,Civ 5,"Books(Non asian), Tabletop games(just the basic ones), Films and TV series",Mostly negative,2,,,1,Yes,"Yes, in any way they appear there",
05/01/2021 01:16:03,Male,Heterosexual,21-26,USA,Every day,5-8 hours,Singleplayer RPGs,"This changes with the times. Currently, Rimworld, Dead by Daylight, 7 days to die, Duskers, L4D2, and Drug Dealer Simulator","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Sometimes negative,3,"Depth of personality, Character growth, motives, what drives them and why","""World of Hat"" characters, or characters whose entire identity is based off of a single thing",5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","I fully support LGBT+ characters in games, as long as they don't JK Rowling it. If the only LGBT+ character is just a token character with absolutely no depth, I'd rather they not be there. However, that's my same reaction for every character"
05/01/2021 01:22:43,Male,Heterosexual,16-20,Singapore ,Once- or twice a week,0-4 hours,Simulators,"Minecraft, Genshin Impact ","Anime, Manga, Japanese(Or similar) Light Novels, Mechanical Keyboards ",Mostly positive,4,,,6,Only if its explained logically. I guess I would be ok if it was fanservice; but overusing it is a no. ,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 01:25:37,Male,Heterosexual,Younger than 16,Panamá,Once- or twice a week,0-4 hours,Strategy,"Legend of zelda, Mario, Super smash bros","Anime, Manga, Japanese(Or similar) Light Novels",Neutral,4,"Very steampunk clothing, or stylish with some sort of overall theme(i.e someone with interest with space has star-themed clothing) or little easter eggs about the characters like something valuable for them.","While in a individual level can't say I have something I dislike, but when it comes to groups, overall likenesses between the members of that group is something I'm not fond off(i.e the playable characters of Anthem being basically the same with only a change in color and slightly in shape)",4,Maybe,"Yes, in any way they appear there","Though overall I don't really mind ecchi-ness in any way, if it's going down that path at least be equal, aka over-the-top revealing clothing for female characters but bulky armor for male characters, *or* the other way around too, aka censoring female character's designs but topless/tiny pants for male characters.

Fanservice for all! Or something like that lol :v."
05/01/2021 01:25:40,Nonbinary ,Pansexual,More than 35,Uk,Every day,0-4 hours,Singleplayer RPGs,"Rez, Persona 3, Ico",Books(Non asian),Sometimes negative,2,,,4,"Depends really, there are some good games about sex and it works but most times it’s just cringe","Yes, in any way they appear there",
05/01/2021 01:31:52,Female,Homosexual,16-20,Brazil,Every day,5-8 hours,Multiplayer RPGs,WoW,"Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,1,Consonance between the role that the character plays and its design.,,4,No,"Yes, in any way they appear there",
05/01/2021 01:32:11,Male,Heterosexual,16-20,Ukraine,Every day,0-4 hours,Strategy,League of Legends,"Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Anime, Manga",Neutral,4,,,4,I'm okay with usage of such a content,"Yes, in any way they appear there",
05/01/2021 01:34:57,Male,Heterosexual,21-26,Mexico,Several times a week,0-4 hours,Action,TES V: Skyrim,"Books(Non asian), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,5,Not necessarily realistic,when it doesn't fit the aesthetic of its world without justification,6,Yes,"yes, as long as it's not their only charater trait ",
05/01/2021 01:35:10,Male,Heterosexual,21-26,United States,Every day,0-4 hours,Singleplayer RPGs,"Warframe, Skyrim","Books(Non asian), Tabletop games(just the basic ones)",Sometimes positive,3,Realistic design ,Overly weebified designs,5,Yes,"Yes, in any way they appear there",
05/01/2021 01:36:47,Female,Bisexual,27-35,USA,Several times a week,0-4 hours,Singleplayer RPGs,Pokemon,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Mostly positive,3,Design with intent,Boring standard archetypes,5,,"Yes, in any way they appear there",
05/01/2021 01:37:33,Female,Asexual,16-20,Australia,Every day,9-12 hours,Strategy,Divinity: Original Sin 2,"Books(Non asian), Tabletop RPGs(D&D and similar), Warhammer",Neutral,2,,,3,Yes,"Yes, in any way they appear there",
05/01/2021 01:47:50,Female,Bisexual,21-26,Canada,Once- or twice a week,5-8 hours,Singleplayer RPGs,"Bioshock, Witcher 3, Dishonoured, Hades, Bayonetta, Persona Series","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,2,"Fits personality of character, or makes sense in respect to story, setting, culture, etc.",,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 01:48:03,Female,Bisexual,16-20,England,Every day,0-4 hours,Singleplayer RPGs,"Skyrim, CS:GO, The Last of Us","Books(Non asian), Films and TV series",Neutral,4,"Something that makes them memorable or tells a story, interesting silhouettes/outfits",The same generic brunette man with a beard or big breasted woman with clothes that just wouldn’t suit the situation,5,Yes,"Yes, in any way they appear there","Sexuality in games isn’t an issue in my opinion, plot lines with straight or LGBTQ characters are great, as long as they add something to the story. If nothing is added to the experience with a flash of cleavage then just leave it out. Also for the love of all that is holy, if a woman is fighting by for her life in a battlefield, give her some armour, or at least some clothes"
05/01/2021 01:49:57,Male,Heterosexual,16-20,Philippines,Once- or twice a week,0-4 hours,Simulators,"Minecraft, ark, tycoon games","Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,5,Fantasy and scifi styles,Exaggerated body parts,5,Yes,Maybe/Neutral,It is important to know the difference between real-life and fiction because it might affect your knowledge about procreation and sexuality.
05/01/2021 01:50:55,Male,Heterosexual,Younger than 16,Austria,Several times a week,5-8 hours,Multiplayer RPGs,"Minecraft, Foxhole, Spore, WoW","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,4,,,4,Maybe,"Yes, in any way they appear there",Nothing really
05/01/2021 01:59:06,Male,Heterosexual,16-20,Russia,Once- or twice a week,0-4 hours,Rhythm Games,"Skyrim, Minecraft, osu!","Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,2,"Well, you usually look at a person's face. So, facial features?","Open cleavages, female RPG armor",5,Yes,"Yes, in any way they appear there",
05/01/2021 01:59:51,Male,Heterosexual,21-26,United Kingdom,Several times a week,0-4 hours,Strategy,"Kerbal Space Program,Dota,Witcher3","Books(Non asian), Tabletop games(just the basic ones)",Neutral,2,Detail in clothing and body shape,Skimpy armour/clothing unnecessarily ,4,Yes,"Yes, in any way they appear there",
05/01/2021 02:05:05,Male,Bisexual,21-26,Australia,Every day,13+ hours,Multiplayer RPGs,Princess Connect,"Books(Non asian), Manga, Japanese(Or similar) Light Novels",Sometimes positive,1,Good proportions and designs that fit the intended purpose of the character,"Over the top designs that take away from the gameplay, or are incredibly bland that they are forgettable",7,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","Characters that are lgbt+ are either completely hit or miss, the best way that they are displayed is when it makes sense within the game and isn't just a ploy to add it in for more money because it ""supports"" lgbt+. Games that are capable of displaying the sexuality of the characters without making it the entire personality, or growth of characters generally tend to feel nicer to play and add to the game instead of taking away from it."
05/01/2021 02:08:40,Male,Bisexual,21-26,United States ,Several times a week,0-4 hours,Singleplayer RPGs,"Cities skylines, doom, minecraft, bioshock infinite","Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series",Absolutely positive,6,,,7,Yes,"Yes, in any way they appear there",
05/01/2021 02:11:05,Male,Bisexual,16-20,Venezuela,Once- or twice a week,0-4 hours,Singleplayer RPGs,A Link to the Past,"Books(Non asian), Films and TV series, Anime, Manga",Mostly positive,6,"Originality, not being afraid to make the designs silly, sexualizing the guy's as well as the gals, and having the design reflect the character's personality.","Designs that are unoriginal, unmemorable, and ""safe""",6,,"Yes, in any way they appear there","Like it or not, sexuality is a huge part of our lives. To pretend that it doesn't exist or to be ashamed of it to the point of not allowing it on (age appropriate) games is prude garbage. Same goes for LGBT characters. Non-cishet people exist and characters don't need more ""reasons"" to be gay than others do to be straight. They just are."
05/01/2021 02:23:40,Male,Heterosexual,More than 35,US,Every day,0-4 hours,Adventure,"Fallout 4, Assasins Creed, TF2","Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Epidemiology and my family",Mostly positive,5,realistic sexualization,ridiculously oversexualized characters and sexualization of young characters,6,Yes,"Yes, in any way they appear there","If you design a game that allows players to increase sexual content - for instance obviously nude while wearing armor like in Fallout 4, please add voice and response comments that point that out, for instance ""jeeze that looks uncomfortable!"" or ""this armor is really painful to wear"", stuff like that. I'd love for my avatar to complain if I do something silly like that!"
05/01/2021 02:24:03,Non binary,Bisexual,27-35,Usa,Several times a week,0-4 hours,Singleplayer RPGs,Kingdom hearts 2,"Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels",Sometimes negative,2,"Unique clothing that fits the characters personality, diversity","Obvious fanservice, overly childish female characters, rude or bland characters",4,Yes,"Yes, in any way they appear there",Diversity is important in both the art itself and behind the scenes. A lot of the time diversity that seems awkward comes from well meaning creators who aren't actually part of the communities they are trying to represent.
05/01/2021 02:28:01,Male,Heterosexual,21-26,Panama,Every day,0-4 hours,Singleplayer RPGs,"Honkai Impact 3rd, Touhou series, Tales Of series","Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels, Music, Writing",Sometimes positive,3,Long hair,"Gratuitiously and/or impractically revealing clothes, especially when the character is supposed to be distinguished or dignified.",4,Yes,"Yes, in any way they appear there","There is such a thing as too much fanservice, especially when everything else about a character is otherwise played seriously. This can work, however, if the design is meant to evoke a different idea or reaction, such as being perceived as unnerving or irrational."
05/01/2021 02:31:21,Male,Bisexual,16-20,Portugal,Every day,5-8 hours,Singleplayer RPGs,Don't have one,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Absolutely positive,4,,,7,,"Yes, in any way they appear there",
05/01/2021 02:35:03,Male,Bisexual,21-26,U.S.,Several times a week,0-4 hours,Multiplayer RPGs,Bloodborne,"Books(Non asian), Tabletop RPGs(D&D and similar), Japanese(Or similar) Light Novels",Sometimes positive,4,"I like characters that stand out, but their design is still realistic to their setting.","Unrealistic antonym, including big ole boing boings. ",6,Yes,"Yes, in any way they appear there","I don't mind sexuality in video games, just keep it in good taste. I don't want to be playing a zombie survival game then, all the sudden, surprise anal cut scene (cough cough last of us 2)."
05/01/2021 02:35:16,Male,Heterosexual,21-26,USA,Every day,0-4 hours,Multiplayer RPGs,LoL,"Books(Non asian), Films and TV series, Anime",Mostly positive,3,"Good character, IE focus on the character and if the sexuality is core to them then you can really focus on that but don't just sexualize for its own sake. IE a female assassin who lures her victims thru equalization is great. A elf spirit who defends the forest and just happens to wear a torn bikini for armor makes no sense.",Lazy character tropes or again focusing on selling the character instead of making them.,6,Yes,"Yes, in any way they appear there",Rough survey my man but I hope it helps.
05/01/2021 02:43:24,Male,Heterosexual,21-26,US,Several times a week,0-4 hours,Singleplayer RPGs,Fallout series,"Tabletop games(just the basic ones), Films and TV series",Mostly positive,3,,,5,Yes,"Yes, in any way they appear there",
05/01/2021 02:48:37,Male,Heterosexual,16-20,Poland,Every day,0-4 hours,Singleplayer RPGs,"Dragon Age, The Witcher, Total War, Gothic, Spellforce","Books(Non asian), Films and TV series, Anime",Mostly positive,4,The lack of physical flaws,"Every woman has huge breasts, their bodies are too exposed",6,Yes,"Yes, in any way they appear there",
05/01/2021 02:58:16,Male,Prefer not to say,27-35,RSA,Every day,5-8 hours,Multiplayer RPGs,FFXIV; Gems of War; Titan Quest,"Books(Non asian), Films and TV series, Gambling",Neutral,4,Characters (or actors) are designed to make the target market feel compelled and relatable. Characters in games typically range from age 14 - 40 which hits the nail on the head with typical player demographics (seeing as video games really took off in the 1980s),Variety comes to a low: almost every game's playable character is humanoid or anthropomorphic. You never see in games where characters look like something else from the aforementioned (except in MOBA games maybe - where you can play as a ... literal ball of light by example),5,No,Maybe/Neutral,"As a game developer, I have a fairly positive-to-neutral view on it. LGBT+ community is mostly portrayed online as a ""cancel-culture"". Just like religion - don't force it down my throat - and allow me to have opinions on what I see. I don't MIND seeing LGBT+ representations in games, just don't expect me to change my lifestyle to EXPECT/LIKE it in my games. The world is a diverse and complex place - many good sides to it, and more disgusting sides to it. Some cultures allow for certain themes while others see it as taboo - there is no way to make absolutely everyone happy in games. "
05/01/2021 03:00:24,Female,Bisexual,21-26,usa,Every day,0-4 hours,Singleplayer RPGs,"Skyrim, Risk of rain 2, r6 siege","Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels, Calligraphy and music",Mostly negative,2,"Dark, realistic, grounded, cute, scary","Shallow, pandering to audience, loli bait, base wish fulfilment, harem shit.",5,Yes,"Yes, in any way they appear there","Thank you, have a good rest of your day"
05/01/2021 03:02:50,Male,Heterosexual,27-35,Norway,Every day,0-4 hours,Singleplayer RPGs,Witcher 3,"Books(Non asian), Films and TV series, Anime, Manga",Mostly positive,4,,,5,Yes,"Yes, in any way they appear there",
05/01/2021 03:07:26,Male,Asexual,27-35,Brazil,Once- or twice a week,5-8 hours,Simulators,"Wow, hots, portal, banished, cities skylines","Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,3,Coherence,Out of context questionable anatomy.,6,Yes,"Yes, in any way they appear there","Although LGBT+ could be present in any organic way, it’s annoying  when misrepresented by inaccurate stereotypes."
05/01/2021 03:08:40,Male,Heterosexual,27-35,US,Once- or twice a week,5-8 hours,Adventure,Last of Us,"Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime",Sometimes negative,3,Small details that let us know who they are as people,not really. anything can be well in the right context.,5,Yes,"Yes, in any way they appear there",
05/01/2021 03:13:47,Female,Homosexual,16-20,United States,Several times a week,0-4 hours,Singleplayer RPGs,fe3h p5r,"Books(Non asian), Films and TV series, Anime, Manga",Sometimes positive,3,,,4,Yes,"Yes, in any way they appear there",
05/01/2021 03:14:57,Male,Prefer not to say,27-35,usa,Once- or twice a week,0-4 hours,Adventure,"doom, skyrim, crash bandicoot","Films and TV series, Anime, cars",Absolutely positive,7,big tits,prude,7,Yes,"Yes, in any way they appear there","I dont play games that often but when i do, i cherish the tits i see. Im glad its not often because I could only jerk off so many times in a day... "
05/01/2021 03:18:07,Male,Bisexual,16-20,Germany ,Every day,5-8 hours,First Person Shooter ,CSGO/Overwatch/Team Fortress 2/Minecraft,"Films and TV series, Anime",Sometimes negative,3,,,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 03:29:28,Female,Heteroromantic Asexual,16-20,United States,Every day,13+ hours,Singleplayer RPGs,Rune Factory 4 (Special),Books(Non asian),Mostly negative,1,I like elaborate designs.,"I really, really hate female character armor that's absurdly sexualized.",3,Yes,"Yes, in any way they appear there",
05/01/2021 03:31:54,Male,Heterosexual,More than 35,United States,Several times a week,0-4 hours,Singleplayer RPGs,"Splatoon, Zelda, Animal Crossing, Ingress, Pokémon Go","Books(Non asian), Films and TV series, Anime",Mostly positive,2,I like a wide range. Video games are for exploration. ,Characters who are forced to be submissive. Submissive by choice is fine.,5,Yes,"Yes, in any way they appear there",
05/01/2021 03:34:32,Male,Bisexual,21-26,Usa,Several times a week,0-4 hours,Adventure,"Roblox, Pokemon, Rocket League","Tabletop games(just the basic ones), Films and TV series",Sometimes negative,4," Like seeing clothes/personality more than breasts, chests and crotches",Don't care for over objectification of women.,6,Yes,"Yes, in any way they appear there",
05/01/2021 03:43:17,Male,Heterosexual,27-35,United States,Several times a week,0-4 hours,Action,Witcher 3,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime",Mostly positive,4,Matches the theme of the game,Doesn't match the theme of the game,5,No,"Yes, in any way they appear there",
05/01/2021 03:44:42,Male,Heterosexual,16-20,United States of America,Every day,5-8 hours,Adventure,"Dirty Bomb, slime rancher, subnautica (the first one)","Films and TV series, Anime",Sometimes positive,4,"Detail, I love seeing little things added to outfits of characters. Whether it's just a little charm that references to a backstory element or just detailed character models in general.",Lack of details in the face. ,5,Yes,"As long as their only element isn't just being gay. If they're a good character that happens to be gay I'm am absolutely fine with that, but if every sentence they speak is about them being a strong gay then that just ruins the character.",
05/01/2021 03:52:35,Male,Heterosexual,21-26,usa,Every day,5-8 hours,FPS,Animal Crossing: New Horizons,"Tabletop games(just the basic ones), Films and TV series, Anime, Manga",Mostly positive,7,strong women,boob armor,6,,"Yes, in any way they appear there",
